name,rate,date
로또 1034회 당첨번호,20000.0,2022-09-24
리그오브레전드,20000.0,2022-09-24
곽도원,20000.0,2022-09-25
가양역 실종,20000.0,2022-09-25
나이키,10000.0,2022-09-25
김규리,5000.0,2022-09-25
박지성,2000.0,2022-09-25
천원짜리변호사,2000.0,2022-09-25
한국 대 카메룬,200000.0,2022-09-26
한국 카메룬,50000.0,2022-09-26
손흥민,50000.0,2022-09-26
대전현대아울렛,20000.0,2022-09-26
라이베리아,10000.0,2022-09-26
코스피,5000.0,2022-09-26
대한민국 축구,5000.0,2022-09-26
축구,5000.0,2022-09-26
MBC,2000.0,2022-09-26
마스크 해제,2000.0,2022-09-26
개천절,2000.0,2022-09-26
대우조선해양,2000.0,2022-09-26
서울교통공사,2000.0,2022-09-26
김정은,2000.0,2022-09-26
돈스파이크,100000.0,2022-09-27
쿠팡플레이,20000.0,2022-09-27
부산국제영화제,10000.0,2022-09-27
한그루,10000.0,2022-09-27
카메룬,10000.0,2022-09-27
TV조선,5000.0,2022-09-27
블랙핑크,5000.0,2022-09-27
송가인,5000.0,2022-09-27
전영록,5000.0,2022-09-27
한컴오피스,5000.0,2022-09-27
에어팟 프로2,2000.0,2022-09-27
박민영,50000.0,2022-09-28
진아름,20000.0,2022-09-28
길랑-바레,10000.0,2022-09-28
길랑바레,10000.0,2022-09-28
노드스트림,10000.0,2022-09-28
이영애,5000.0,2022-09-28
남궁민,5000.0,2022-09-28
이화영,5000.0,2022-09-28
이광수,5000.0,2022-09-28
권순우,2000.0,2022-09-28
트위치 720p,20000.0,2022-09-29
망사용료,20000.0,2022-09-29
소상공인 손실보상,10000.0,2022-09-29
미세먼지,10000.0,2022-09-29
전국노래자랑,5000.0,2022-09-29
이주호,5000.0,2022-09-29
박진,5000.0,2022-09-29
인생은 아름다워,2000.0,2022-09-29
던파모바일,2000.0,2022-09-29
서기,2000.0,2022-09-29
애플,20000.0,2022-09-30
천원짜리 변호사,20000.0,2022-09-30
강형욱,20000.0,2022-09-30
유재석,20000.0,2022-09-30
롤드컵,20000.0,2022-09-30
하이마트,10000.0,2022-09-30
EXID,10000.0,2022-09-30
SSG,10000.0,2022-09-30
아이폰14,10000.0,2022-09-30
경기도 버스파업,5000.0,2022-09-30
아이폰14 사전예약,5000.0,2022-09-30
엄정화,5000.0,2022-09-30
방탄소년단,2000.0,2022-09-30
토트넘,100000.0,2022-10-01
로또1035,20000.0,2022-10-01
나폴리,20000.0,2022-10-01
리버풀,5000.0,2022-10-01
가우스전자,5000.0,2022-10-01
국군의 날,5000.0,2022-10-01
이은해,2000.0,2022-10-01
오늘날씨,10000.0,2022-10-02
마요르카,5000.0,2022-10-02
맨시티,2000.0,2022-10-02
